review_id,product_id,user_id,review_title,review_body,review_date,rating,helpful_votes,total_votes
R274002,B001O1Q0NA,AY6QZ7AY3AK8Z,Fluoridated salt,"I thought this salt was fluoride free unfortunately it is fluoridated, avoid paying extra. [...]. (Over the last few years a new scam has emerged in Europe which is rapidly spreading across the world.<br /><br />  It involves ordinary rock salt from the ""salt range"" in Pakistan being marketed as luxurious and healing ""Himalaya Salt"".<br /><br />  It is also sold as ""Himalayan Crystal Salt"", ""Hunza-Kristallsalz"" or natural ""Kristallsalz"", ""VitaSal"", ""AromaLife"", etc..<br /><br />  The scam is currently being introduced in India and the United States.<br /><br />  It will result in very high overall fluoride intake in anyone who follows the various ""therapy recommendations"") also noted from above website.",2021/01/01,*,17,24
R302264,B000MOEUMS,A33DXT3AD5DHCB,NOT as Advertised,"This product is NOT drinking chocolate.<br /><br />I realize that a lot of folks out there probably don't care about the distinction, however, COCOA POWDER is not DRINKING CHOCOLATE.  Drinking chocolate refers to a product that is some form of sweet, dark, or milk chocolate, shaved or ground, then added to hot milk and whisked or whipped over heat until the chocolate melts into the milk (or water as the Europeans do).  It is akin to a ganache where chocolate and cream are combined over a double boiler; it literally is drinking liquid chocolate.<br /><br />Cocoa powder is a different product.  Cocoa powder is produced solely from chocolate solids with no cocoa butter added, and although it is a chocolate tasting drink, it is not Drinking Chocolate.<br /><br />The Cadbury product is a fine cocoa powder, however it is MISLABLED and not what people looking for drinking chocolate are interested in.<br /><br />I will keep the product for when I want a glass of chocolate milk.",01-01-2021,***,6,12
R84546,B002ZOIKMY,A14396UCW3Z0KI,"Best bags for iced tea, excellent deal","First, Luzianne makes the best classic brewed iced tea, hands down.  The family sized bags make 1 quart per bag, 48 quarts per box, 12 gallons of iced tea x 6 boxes @ $4.72 a box, thats 72 gallons of iced tea, certainly enough for the summer season and then some, plus free shipping if you play your cards right and order something else; you just can't beat that.  You can't get Luzianne cheaper anywhere else.<br /><br />So stop buying the instant iced tea mix crap, get some of these bags and brew your own.",2021-01-01,*****,18,18
R117515,B0016B7Z32,A1ODU9IV6O87IB,"Don't pay for ""expedited"" delivery","I paid over $13.00 for ""expedited"" delivery and the product still took FIVE days to arrive. Would not buy from them again.",01-01-2021,**,4,22
R131840,B001XUO8AY,A3LOCNXB7Z1WCH,I love Fever-Tree!,"After doing an Internet search for tonic waters that do not contain high-fructose corn syrup, I only found few options. The reviews for Fever-Tree were so positive that I decided to give it a try. They reviews are right: this tonic water is amazing! I happen to prefer vodka tonics to gin and tonics, but the taste of Fever-Tree is so pure that it works with both equally well. My husband prefers G and T's, and he said it has changed the way he views tonic water. What started out as a search for a healthier alternative has actually ended up changing the way we see mixers. I love this tonic water and will be ordering more. With the free shipping, it's actually not much more expensive than Schweppes, especially when you consider that Schweppes goes flat so quickly in the huge liter bottle. Schweppes is also FULL of sodium, and Fever-Tree is not. Check this tonic water out: you'll be glad you did!!",01 Jan 2021,*****,16,16
R534452,B0052M5V0A,A3BMNVZJLOCSEO,"C'mon, people.","Get real, other reviewers!  This coffee right here is obviously at least TWICE as good as what you can get directly from Nespresso on its website.  Nespresso is clearly fobbing off inferior product -- probably coffee beans made in China, or maybe even Taiwan!  Ninety-nine ninety-nine here at Amazon, or fifty-seven at Nespresso - your choice.  Just remember:  you get what you pay for... right?",2021/01/01,*****,0,24
R488729,B005K4Q1YA,A3NID9D9WMIV01,"For 10 dollars, yes. otherwise, no","This coffee is delicious. I would assume it's an instant blend, because the K-Cup is completely empty after usage. The caffeine content is low, so it's a great afternoon coffee that won't keep you up at night. If the price stays at 10 dollars with free shipping, it's a good deal. Once they raise the price though, I'm out of here.",2021-01-01,*****,14,15
R300963,B000VJYTZM,A20X23WJLV4R5X,tasty Maybe beneficial,"My midwife recommended this product, and I drank it throughout my second and third trimesters. My labor was slow, but I experienced nothing you might really call pain (pressure and some discomfort) all the way to 9 centimeters. Then I pushed 3 times and my son was born. I'm not saying for sure that it was the tea...but I didn't have labors like this with my other two.<br />At any rate, it's tasty and not harmful. Just remember to tell your midwife or doctor that you're using it. I still drink it just cause I like it.",02-01-2021,*****,18,18
R534165,B001EO77FC,A2TLLRAWHNFV9Y,Great dog food for dogs with digestive problems,"I originally bought this as a replacement for Science Diet's I/D as it was always much more expensive than anything else out there. I/D was also more expensive than Newman's at my local vet's office. I have had a ton of issues getting my dog to accept other dog foods in the past. We tried pretty much every brand that you can buy in pet shops and always had problems with my dog scratching or having her ears get bright red. We found out the problem after one of the cases where she almost went into renal failure after eating her Milkbone treats. We needed something organic without a lot of beef in it. While this one does have some bi-product for protein, it doesn't seem to bother my dog at all. She also has normal stools every time which wasn't the case even with the I/D. My dog hated the I/D. She would often leave a good portion of it on the ground or in the bowl and rarely ate it in its entirety. With the Newman's own it is night and day. She scarfs it down in less than a couple minutes and usually eats a bowl in one sitting. It seems like she loves it from the way she eats it.<br /><br />A couple of the reports from reviewers originally scared me about the reports of scratching which was exactly the problem I had with other dog foods. I gave it a try and my husky has never had a problem since and she has been on it for almost three months now. My husky has always had problems with digestive issues and this seems to be one dog food that she likes and does not have problems with.<br /><br />On a side note, I wish Newman's offered a bigger size bag. I have to order these all the time due to the 12.5 pound bag. My husky kills a bag in roughly two weeks due to her size. It still works out being cheaper than the $50 bag of 17 pound I/D I was ordering so I'm still happy with it. Science diet was sending me to the poor house.",2021/01/02,*****,12,12
R245108,B001O8NLV2,A356HBGSVZ5NRH,Perpetually Delicious - Tazo Makes The Best!,"For me, when the days get colder nothing is as rewarding as a simple cup of hot tea. And for it's claimed immunity benefits, a basic green tea is a common pick for maintaining a healthy natural balance during the flu season. From previous experiences in tasting the Tazo brand, both of the bottled and boxed products, they have proven to be unsurpassed for quality and flavor. Once I've tried their teas they immediately became my drink of choice. <p>The Zen Green Tea Blend is a wonderful one that has only a few ingredients with no artificial anything. And thankfully, doesn't boast the addition of fortified vitamins in some senseless amount. It truly is an enlightening blend of green tea, spearmint, lemongrass and lemon verbena. Thus making it versatile refreshment for anytime of the day, whether it's right after meals or between meals, or just before bedtime. Generally light and mild tasting, but that will depend upon how long you steep it and if you add a sweetener of some form.<p>Interesting too, are the amusing comments and remarks that appear on the packaging. Reading through this as you drink your tea makes it a distinctive experience. I never seen tea so clever! I wonder if consuming Tazo really does improve a person's outlook on life and affect his or her well being? I think it just could be the great taste and aroma and probably the reassuring thought of doing your health a favor.<br />Try a couple of their teas - they are sure to please!<br />And Tazo Zen Green Tea makes a good choice.",02 Jan 2021,*****,14,14
